"","Names","Sums"
"188","15S-NT-41O-1",34780
"189","15S-NT-38O-1",34872
"190","15S-WB-10M-2",35616
"191","15S-WB-16M-2",36282
"192","15S-WB-07M-2",36352
"193","15S-WB-18M-1",37021
"194","15S-WB-15M-1",37193
"195","15S-NT-23O-1",37714
"196","15S-WB-06M-1",39638
"197","15S-NT-25O-1",41200
"198","15S-NT-49O-2",41328
"199","15S-WB-05O-1",44984
"200","15S-WB-08O-2",45123
"201","15S-NT-34O-2",45143
"202","15S-WB-11M-2",45466
"203","15S-WB-18M-2",47244
"204","15S-WB-02O-1",55808
"205","15S-WB-11M-1",56144
"206","15S-NT-19O-2",57160
"207","15S-WB-17M-1",59245
"208","15S-NT-41M-2",59705
"209","15S-NT-33M-1",63264
"210","15S-WB-05M-1",64713
"211","15S-NT-42M-1",67213
"212","15S-WB-12M-1",72261
"213","15S-WB-12O-1",73420
"214","15S-NT-38O-2",79367
"215","15S-WB-16M-1",84157
"216","15S-WB-07O-2",99960
"217","15S-NT-40O-2",101301
"218","15S-NT-41M-1",105991
